Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Muskegon CBOC, RM153, Desk 1",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 2",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 3",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 4",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 5",,,0,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 6",,,0,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 7",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 8",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 9",,,0,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 10",,,1,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 11",,,0,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153, Desk 12",,,0,"Muskegon CBOC, RM153",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A",,,1,"Wyoming CBOC, RM1A100A",Room,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A, Desk 1",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
